# generated by extract/src/build_backfill.py at 2026-06-04T13:42:17+00:00
match_doi,match_title,match_year,doi,abstract,source,title_sim
,From spatial continuity to fragmentation: The case of Russian farming,2004,10.1111/j.1467-8306.2004.00441.x,"The continuous zone of settlement long considered a defining feature of Europe, is undergoing spatial framentation along its eastern periphery. Massive areas of rural depopulation have emerged in many regions of European Russia, including its heartland. As a result of farmland abandonment, no fewer than 20 million hectares of arable land are already deserted in European Russia, and more will be left behind in the foreseeable future. The ongoing spatial fragmentation results in two diverging structures, identified on the basis of a unique district‐structured database: an emerging archipelago of commercial farming, and the so‐called black holes, the likely loci of soon‐to‐be‐abandoned land. While land abandonment is by no means a uniquely Russian phenomenon, one of its preconditions in Russia is that farmland was extended beyond environmentally reasonable limits. The rural depopulation naturally leads to the contraction of farmland. Because land that is likely to be retained under cultivation is a better match to people's actual ability to cultivate it, fewer resources are going to be wasted, and the overall efficiency of Russia's agriculture is likely to rise as a result.",openalex_title_search,1.000
,A useless thing! or nectar of the gods? The cultural production of education and young men's struggles for respect in liberalizing north India,2004,10.1111/j.1467-8306.2004.00443.x,"Drawing on fourteen months' ethnographic field research in western Uttar Pradesh among educated Dalit (ex‐untouchable) and Muslim young men, this article uncovers a crisis in educated people's access to salaried employment in rural north India. Against the grain of other studies of youth underemployment in postcolonial settings, we argue that educated Muslim and Dalit young men have reacted to their exclusion from secure white‐collar occupations by embracing education as a form of embodied cultural distinction rather than seeking out “traditional,”“indigenous,” or “village‐based” identities. Young men elaborate on education's value with reference to a system of differences between moral, civilized, developed “educated” people and immoral, savage, underdeveloped “illiterates.” Education has become a type of discursive “scaffold” upon which people display their ideas about morality, development, and respect. These narratives are compromised and contested and highlight differences in the ability of Muslim and Dalit young men to maintain an image of themselves as educated people. The extraordinary durability of local ideas of development ( vikās ) in the face of poor occupational outcomes and local variations in young people's ability to maintain development identities point to the importance of the cultural production of education as a field for comparative geographical enquiry.",openalex_title_search,0.990
,Governing Dispossession: Relational Land Grabbing in Laos,2018,10.1080/24694452.2017.1373627,"The government of (post)socialist Laos has conceded more than 1 million hectares of land—5 percent of the national territory—to resource investors, threatening rural community access to customary lands and forests. However, investors have not been able to use all of the land granted to them, and their projects have generated geographically uneven dispossession due to local resistance. Based on twenty months of ethnographic fieldwork, this article compares how dispossession materialized in eight villages targeted by a Vietnamese rubber plantation and a Chinese pulpwood plantation in southern Laos. I contribute to a nascent literature on the political contingencies of dispossession by showing how extraeconomic forces of expropriation are governed relationally. Developing a Gramscian relational environmental governance framework, I demonstrate how such contingencies are shaped by social and political relations among and internal to state, capital, and community actors, leading to either the extension and solidification or contraction and fragmentation of dispossession as a hegemonic mode of development. In the case at hand, I focus on four sets of decisive relations: (1) corporate–state relations that mediate the capacity of investors to mobilize state powers of land expropriation; (2) the state's discursive framing of socioenvironmental relations between communities and their rural environments, which affects how amenable village territories are to acquisition; (3) community–government relations built on kinship, ethnic, or historical links that villagers can use to lodge effective grievances with the state; and (4) coherent and democratic internal village relations that build community solidarity against plantation development. Key Words: dispossession, environmental governance, land grabbing, Laos, resistance.",openalex_title_search,1.000
,Forest transitions in Mexico: Institutions and forests in a globalized countryside,2003,10.1111/0033-0124.5502010,"Abstract Forest-transition theory suggests that economic development eventually leads to forest recovery, but there is great uncertainty about the existence, the characteristics, and the mechanisms of forest transitions that might be occurring under current socioeconomic conditions. A case study in a small region of highland Mexico finds agricultural abandonment and forest regeneration, but also forest degradation due to woodcutting. A discussion locates those findings in the international political economy of agriculture and emigration in Mexico, which are substantially different from the conditions associated with forest recovery in developed countries. Although regional forest transitions are possible in marginal agricultural areas such as that studied here, their environmental implications depend on the evolution of social institutions coordinating rural people's environmental actions. Forest Transitions in Mexico: Institutions and Forests in a Globalized CountrysideAll authorsDan Kloosterhttps://doi.org/10.1111/0033-0124.5502010Published online:29 February 2008 Figure 1 Location of the case-study communities against a backdrop from the Landsat Enhanced Thematic Mapper (band 3) from the spring of 2000, the dry season. Figure 1 Location of the case-study communities against a backdrop from the Landsat Enhanced Thematic Mapper (band 3) from the spring of 2000, the dry season.",openalex_title_search,1.000
,Place identity in a resource-dependent area of northern British Columbia,2004,10.1111/j.1467-8306.2004.00442.x,"Residents of northern British Columbia's resource‐dependent areas have struggled to maintain the integrity of their communities as nonlocal firms exert ever‐increasing influence over the region's resources and landscapes. Local leaders both construct and mobilize place as a vital part of their efforts to promote community well‐being. This study focuses on the ways that the residents of three towns in the province's northern interior politicized place as a strategy for resisting the political influence and geographic designs of outsiders. The residents drew from their shared emotional response to powerlessness as a means of highlighting the inequities between insiders and outsiders, thereby generating a regional identity that calls into question the socioeconomic effects of resource industrialization in the north. In describing this dialectic between place making and economic restructuring, the article not only expands upon existing theory on place identity, but also contributes to a fuller understanding of the cultural geography of North America's resource‐dependent communities.",openalex_title_search,1.000
,Confidence and Trust in Public Institution Natural Hazards Management: Case Studies in Urban and Rural China,2016,10.1080/00330124.2015.1106325,"This research aims to investigate the extent to which urban and rural residents trust grassroots-level institutions and how this might affect community resilience to environmental change in China. It focuses on the commitments of institutional actors and their capacities to manage natural hazards and coordinate the community's response. Semistructured interviews were conducted with megacity (Tianjin) and remote village (Wolong) residents in China. We found that public confidence in grassroots-level institutions is limited due to inherent constraints on resources and power. Residents of Wolong tend to recognize the commitment and role of those institutions in connecting individuals with one another, whereas their urban counterparts in Tianjin remain skeptical. Issues of solidarity might account for this difference. These findings will have implications for state–society cooperation and disaster risk comanagement in both urban and rural China.",openalex_title_search,1.000
,An Individual Rural Geography,2016,10.1080/00330124.2015.1129909,"To date, only limited research has focused on the individual in rural geography compared to the importance given to the rural community. With the sociocultural turn and moral positions in rural geography, however, the individual is acquiring more relevance but encapsulated in analytical traditions of locality community and of marginal situations and people. This article synthesizes the most significant works about the individual, especially within rural geography, and its key dimensions are identified: citizenship (political and normative dimension), emotional aspects (the extraordinary moments in peoples' lives), everyday life (the relationship between the individual and the rural place), and difference and otherness (between and within others). To develop an individual rural geography, these four dimensions, which reflect different aspects of the rural individual, must be used in a complementary manner. The relevance of each dimension suggests different types of individualities in rural areas. Ultimately, this article proposes a “new humanism” in contrast with antihumanistic poststructural approaches.",openalex_title_search,1.000
,"The local articulation of policy conflict: Land use, environment, and Amerindian rights in Eastern Amazonia",2002,10.1111/0033-0124.00343,"The Brazilian government has promoted development in Amazonia for over forty years. Nevertheless, improvement of rural conditions has been limited. Although tropical deforestation has been the premier concern in discussions about Amazonia, this article focuses instead on the human dimensions of development and the apparent failings of social policy in the region. In so doing, the article argues that what we observe today represents the consequence of conflicting development strategies, brought about by shifting national priorities that were influenced, in part, by international pressures. The article makes this argument by first presenting an overview of development strategies pursued since the mid-twentieth century, followed by a description of shifting national priorities linked to pressures from the international community regarding indigenous rights and environmental concern. Finally, this article presents a GIS-based case study focused on the state of Pará, demonstrating the spatial articulation of contradictory policies and showing the overlap and conflict between competing interests. These spaces of conflict are supported by actual accounts of disputes at the local level.",openalex_title_search,1.000
,Merging local and regional analyses of land-use change: The case of livestock in the Sahel,1999,10.1111/1467-8306.00142,"This paper argues against the dichotomization of “regional” and “local” analyses of land-use change by environmental geographers. Such dichotomization has led regional analyses to unnecessarily exclude from consideration ecological, sociocultural, and political factors identified to be important in local studies. Simple rules of evidence that systematically label such factors as “locally specific” facilitate such exclusion. For example, gender relations in rural Africa, while shown in local studies to play an important role in land-use change, are often excluded from consideration in regional analyses. This study analyzes the causes behind the regionwide shift toward small stock (sheep and goats) in the Sahel, using demographic and transaction histories (1984–1994) of livestock owned by members of fifty-four households in western Niger. Changes in the composition of this livestock population replicate that observed across the region in direction and magnitude. An analysis of these data demonstrates that the shift in species composition is not driven by changes in price or livestock productivity. While species preferences of individual owners (controlled by wealth) have not changed over the period, the distribution of livestock ownership has changed, with smallholders and women controlling a larger fraction of aggregate livestock wealth. The gendered shift in livestock wealth is closely associated with struggles between men and women over their relative obligations to support the family. Women's situation within the household has led some to accumulate large herds of small stock. Key features of intrahousehold struggles contributing to the shift in livestock composition in Niger are common across the Sudano-Sahelian region. The broader implications of these findings for the analysis of regional changes in land use are discussed.",openalex_title_search,1.000
,Disturbance pharmacopoeias: Medicine and myth from the humid tropics,2004,10.1111/j.1467-8306.2004.00439.x,"The much‐publicized quest for miracle drug plants in tropical rainforests has provided compelling support for the preservationist agenda. This article questions the assumptions that underpin this claim, particularly the myth that pristine forest represents the primary repository of nature's medicinal providence. After tracing colonial European efforts at medicinal plant discovery, intellectual property exploitation, and plant transference and acclimation, I review the recent resurgence of scientific interest in tropical folk pharmacopoeias. In spite of the image marketed by environmental entrepreneurs, the medicinal foraging preference of rural tropical groups is largely successional mosaics of their own creation—trails, kitchen gardens, swiddens, and forest fallows. Focusing on the subsistence transition from hunting and gathering to small‐scale cultivation, I propose that disturbance pharmacopoeias are the logical outcome of changing subsistence strategies, ecological processes, and disease patterns. Salient, familiar, accessible, and rich in bioactive compounds, anthropogenic nature represents the ideal tropical medicine chest. Whereas bioprospecting enterprises carried out during the colonial period and at present employ similar rhetoric—deadly disease, miracle cures, and fantastic profits—these endeavors were in the past and continue to be buttressed by fictitious notions of virgin tropical nature and the mysterious healing powers of its “primitives.” Key Words: pharmacopoeia, tropical rainforest, ethnobotany, medicinal plants, human ecology .",openalex_title_search,1.000
