Value,Definition,legacy_values
agriculture/food,"Paper's findings or argument centrally concern farming as activity, food as a system, or agricultural production/distribution as the substantive subject. Positive cases: farming-system analyses (production methods, crops, livestock, agro-ecology as theoretical/political contribution); food security or food sovereignty as political-economic contributions; agricultural markets, trade, or labor analyzed as their own subject; smallholder/peasant livelihoods centered on agricultural practice; urban or regenerative agriculture as the focus; food provisioning analyzed as social practice. Be selective. The mere presence of agricultural vocabulary in the abstract is not sufficient — many rural-geography papers touch farming context without being about agriculture or food. Anti-pattern phrasings: 'land-use change' as a setting (the paper is about land transitions, not farming); 'agrarian reform / agrarian law' as legal-political backdrop without analyzing agriculture itself; 'agricultural trade' or 'agricultural region' used as data source / sample stratum for a study whose subject is inequality, identity, governance, or environment; 'rural land' or 'rural areas' generally; 'agriculture' or 'farm' in title alongside an analytical focus that is elsewhere (identity, place, governance, environment); papers about plantations, ranching, or rural livelihoods whose central analytical contribution is about race, labor, or power rather than the agricultural system. The test: 'Could this paper transfer to a non-agricultural rural domain — mining, fisheries, manufacturing, tourism, services — without losing its central contribution?' If yes, agriculture/food isn't the central subject.",
place-based study,"Paper's findings or argument centrally concern a single specific site or a few specific sites — a heritage site, village, town, region — treated as a substantive subject of the analysis. Positive cases: place-attachment studies; landscape perception of a specific site; ethnography of a single community; history of a single village or region; sense-of-place or place-identity research about specific named places; heritage-site studies. Be selective. The mere presence of a named location in the abstract is not sufficient: many empirical papers are situated somewhere without being place-based studies. Phrasings like 'a study of [phenomenon] in [town]' or 'we use the case of [town] to explore [phenomenon]' usually indicate the location is the empirical setting, not the substantive subject — in those cases the paper is generally about the phenomenon, not the location. Tag place-based study when the analysis depends on the specifics of that location (its history, its landscape, its community, its trajectory); be cautious when the location is largely interchangeable with similar locations elsewhere. NARROW TIE-BREAKER (applies only on borderline ambiguity): if the abstract names a SPECIFIC ETHNIC, INDIGENOUS, OR DIASPORIC GROUP by a distinctive cultural/ethnonym (e.g. Mongolian Kazakh, Hmong, Quechua, Bedouin, Quilombola, Aymara, Hispano, settler/Indigenous in a named region) AND the abstract describes their identity-formation, homeland relationship, attachment, displacement, or community-internal dynamics as the substantive concern, lean toward INCLUDING place-based study even if the abstract does not unambiguously confirm the site is the subject. THIS RULE IS NARROW: it does NOT apply to papers that merely name a country, state, district, or town (e.g. 'in Ghana', 'in California', 'in rural Bangladesh') without identifying a culturally-distinctive community as the analytical focus. Papers naming a region as the empirical setting for a phenomenon (e.g. 'water access in Suhum District', 'voter power in US states') do NOT qualify and should still NOT be tagged. The tie-breaker is a narrow exception for ethnographic / diasporic / community-identity work whose abstract is signal-poor on the subject-vs-setting question.",
scale/location,"Paper's central contribution is about geographic relations themselves — the relationship between scales, the role of distance, the geography of rural-urban transitions, the spatial dimension of a phenomenon treated as the analytical contribution. Positive cases: rural-urban gradient analyzed as a theoretical contribution (not merely as a sample stratification); cross-scale dynamics where the relationship between scales is itself the finding; modifiable areal unit problem (MAUP) studies; theory of global-local or regional relationships; analyses where remoteness, distance, or borders are the explanatory variable. Be selective. The mere presence of geographic vocabulary (spatial, scale, location, rural/urban, regional, geographic) is not sufficient — gemma should not tag scale/location for every paper that uses such vocabulary descriptively. Anti-pattern phrasings: 'spatial biases in [non-geographic phenomenon such as voting, sentiment, prevalence]', 'the geography of [phenomenon]' used as a descriptor of variation, 'comparing across regions / countries / sites' without theorizing the comparison, 'in different places' or 'in different country contexts' as a generality claim, 'rural and urban areas' used as sample strata. The test: could the paper's argument transfer to a non-spatial analog — a temporal change, a hierarchical level, a demographic comparison? If yes, the contribution is about the phenomenon, not about geography, and scale/location is at most a secondary tag. If a single specific place is the substantive subject of the analysis in its own right, see place-based study instead.",
physical geography,"The central focus on the paper is on the functioning of a dimension of an earth system or physical environment such as soils, hydrology, marine or freshwater ecosystems, geomorphology, vegetation, forests, wildlife, deserts and where human impact may be implied but is not the central concern or agent. Tag when landscape, earth, or ecosystem change is empirically documented and is the main object of analysis. Paper focuses on meteorological systems, weather events, weather prediction, or short-term atmospheric phenomena (El Niño, La Niña) as the primary subject. Paper focuses on climate change (science, impacts, mitigation, adaptation), climate resilience, or discrete hazard events including flooding, drought, hurricanes, tornadoes, cyclones, earthquakes, or tsunamis. Geological hazards belong here even when unrelated to climate. Tag alongside human-environment if human dimensions are also a finding.","natural environment,weather,climate and natural hazards"
human-environment,"The paper's analytical frame is the relationship between society and the physical environment, between humans and non-humans, or between humans and more-than-humans. Positive cases: political ecology; environmental history; eco-philosophy; nature-society theory; animal or plant geographies as theoretical contributions; explicit theorizing of human-nonhuman relations; analyses where the boundary between human and environment is itself the subject; environmental degradation analyzed through a political-economic or theoretical lens; multispecies or more-than-human framings. Recreational engagement with landscapes — tourism, recreational land use, second homes, outdoor recreation economies, tourist-driven landscape change — are positive cases. Be selective. The mere co-occurrence of human and environmental vocabulary is not sufficient — the paper must theorize the relationship as its analytical contribution. Anti-pattern phrasings: climate or hazard impacts on humans described as causal facts without theorizing the relationship (those belong under physical geography plus whatever describes the human dimension); water access or water infrastructure papers (usually built environment + social power); 'environment' used to mean 'setting' or 'surrounding context'; resource or land-use analyses that document conversion without theorizing the human-nonhuman relationship; settler-irrigation or water-governance papers where the contribution is about race, citizenship, or power rather than nature-society theory; 'land-use change' as a description of what happened rather than as a society-environment frame. For water-related papers: when the paper analyzes water access, aquifer dynamics, irrigation systems, or groundwater management, the analytical contribution is typically about the infrastructure system (built environment) and its governance — not the nature-society relationship itself. Reserve human-environment for papers whose primary contribution is theorizing how society and environment shape each other; water-system case studies that document human use of the system generally do not meet that bar. The test: 'Is the paper's argument framed as nature-society theory, political ecology, or an analogous human-nonhuman analytical lens?' If no — if the environment appears as setting, data source, or impacted backdrop rather than as theoretical subject — human-environment is at most a secondary tag. Does not include papers on property or property law.",recreation
built environment,"Physical infrastructure, the human-made material world, and the systems that mediate society's relation to space and resources. The label applies broadly, beyond explicit ""buildings"" language. Tag when a built object, infrastructure system, or material configuration is meaningfully part of the paper's analysis, including when infrastructure serves as the medium through which other arguments (race, governance, social power, health, identity) are advanced. Positive cases — infrastructure systems: water and irrigation infrastructure (settler irrigation systems, water access systems, plumbing, drinking water systems, drainage and stream alterations); electrical and energy infrastructure (electrification, electric power, rural electrification, electric grids, energy distribution networks); transportation networks (roads, railroads, ports, public transit); housing and shelter systems. Built form and material geographies: gentrification and displacement; urban and rural built form; urbanization as built process; landscape transformation by construction or land conversion; heritage and built-heritage sites. Material objects and processes analyzed as substantive subject: dams, bridges, levees, factories, mines as built infrastructure. Positive-pattern phrasings: 'irrigation systems', 'water infrastructure', 'electrification', 'electric grid', 'drinking water systems', 'transportation networks', 'urban built form', 'rural built form', 'gentrification', 'housing access', 'material geographies'. NOTE: built environment and human-environment often co-occur — infrastructure mediates the society-environment relationship. If a paper analyzes how an infrastructure system (irrigation, water access, electrification) shapes both material conditions AND nature-society relations, tag BOTH. Similarly, infrastructure papers often pair with social power (infrastructure-driven inequality) or governance (infrastructure regulation) — these are NOT mutually exclusive. The negative case: do not tag when infrastructure or material vocabulary appears only as scene-setting backdrop without analytical weight (e.g. a paper that simply says 'in a rural town' without further treatment of the built form). Digital, communications, or information technology is a central subject or finding: internet access, broadband, mobile phones, AI, smart systems, social media. Also includes precision agriculture technology, remote sensing as a tool of governance or power, and rural technology access or exclusion. Energy systems, sources, or infrastructure are a central subject: oil, gas, electricity generation, solar, wind, biofuels, wood heat, ethanol, geothermal, mining, or energy transitions. Tag when energy is the focus, not when it appears incidentally.","technology,energy"
social power,"Papers whose argument centrally concerns inequality, justice (social, environmental, spatial), poverty, health disparities, economic livelihoods, community development, just transitions, or economic resilience. Covers both critique of power structures and policy responses to them.",
mobility,"Human movement and population dynamics are a central subject: migration, displacement, refugee resettlement, immobility, urbanization, climate migration, or demographic change. Tag when movement (or its absence) is theorized or empirically studied, not merely reported as context.",
identity,"Social identity categories are a central analytical lens or empirical focus. The label applies broadly, beyond explicit gender/race/ethnicity language. Tag when the paper centers a group's experience, situation, or perspective as something distinct, including: (a) demographic identities — gender, race, ethnicity, caste, sexuality, religion, age; (b) economic and occupational group identities treated as substantive social categories — peasants, smallholders, farmers, farmworkers, fishers, miners, ranchers, traders, domestic workers, indigenous food producers; (c) politico-legal status identities — citizens vs migrants vs refugees, hukou-registered urban vs rural, settler vs Indigenous, formal vs informal sector workers, documented vs undocumented; (d) class-based identities — working class, peasantry, subaltern groups, marginalized communities; (e) rural identity as a substantive category — when the paper analyzes what being rural means, who counts as rural, the politics of rurality, rural-as-belonging (NOT merely rural as setting); (f) insider/outsider dynamics, in-group/out-group boundaries. Positive-pattern phrasings: 'this article examines the experience of [group]', 'we analyze how [group] differs from...', 'the role of [group] in [phenomenon]', 'the lives and practices of [group]', 'centering [group]'s perspective on...'. NOTE: identity and social power frequently co-occur and are NOT mutually exclusive. If a paper centrally concerns a group's experience of inequality or marginalization, tag BOTH identity (for the group-as-category) AND social power (for the inequality dynamics). Do not tag when a group appears only as a sample descriptor without analytical centering.",
governance,"Paper's central analytical contribution is about a political institution, policy, or collective-action arrangement treated as an object of analysis in itself. Positive cases: policy design or critique where the policy itself is the subject; political institutions or regimes analyzed as systems; social movements analyzed as collective action (their organization, tactics, mobilization, fracturing); citizenship debates or property-regime analyses; government program implementation studied as institutional dynamics; conservation governance arrangements analyzed as governance; resistance, protest, or political mobilization as the analytical focus. Be selective. Rural geography papers routinely touch policy contexts without being about governance — the lexical presence of policy-adjacent vocabulary is not sufficient. Anti-pattern phrasings: 'rural development strategy / programs / interventions' as framing; 'sustainable development' or 'sustainable rural development' as backdrop; 'policy implications' or 'recommendations for policy' as a value statement at the end; 'institutions' mentioned without being analyzed; 'intervention' used to describe what was done to the studied group rather than to analyze the governance of intervention design; mentions of 'monitoring', 'policing', 'planners', 'planning' as practical descriptions; 'land ownership patterns' or 'property' as descriptive demographic variables (rather than property regimes analyzed as governance); 'state', 'government', 'reforms' used to scene-set economic or social transitions. The test: 'Could this paper's argument transfer to a private-sector or self-organized analog (no state, no policy, no formal institutions)?' If yes, the contribution is about the substantive domain (livelihoods, identity, environment, infrastructure, technology), not about governance. Tag governance only when removing the political-institutional dimension would collapse the paper's contribution.",
