Value,Definition
Agriculture/Food,"Paper's findings or argument centrally concern farming systems, food production or distribution, food security, agricultural markets, or urban agriculture. Tag even if the setting is rural by default — the focus must be on food/farming specifically."
Place,"Scale, distance, or place is itself a finding or theoretical contribution — not merely a backdrop. Includes papers on place-based identity or experience, landscape perception, spatial scale mismatches, community as a constructed unit, property relations, or global/local linkages where the geographic relationship is the argument."
Natural Environment,"The physical environment — land cover, soils, hydrology, marine or freshwater ecosystems, geomorphology, vegetation, wildlife, forests, deserts, or natural resources — is itself a finding. Tag when landscape or ecosystem change is empirically documented or theorized, even if the paper's overarching argument is social or political."
Weather,"Paper focuses on meteorological systems, weather events, weather prediction, or short-term atmospheric phenomena (El Niño, La Niña) as the primary subject. Do not use for long-term climate trends — see Climate and Natural Hazards."
Climate and Natural Hazards,"Paper focuses on climate change (science, impacts, mitigation, adaptation), climate resilience, or discrete hazard events including flooding, drought, hurricanes, tornadoes, cyclones, earthquakes, or tsunamis. Geological hazards belong here even when unrelated to climate. Tag alongside Human-Environment if human dimensions are also a finding."
Human-Environment,"The relationship between society and the physical environment is the analytical frame — includes political ecology, environmental history, human impacts on ecosystems, environmental degradation, and nature-society theory. Does not subsume Natural Environment: ask separately whether the physical environment itself is also a finding."
Built Environment,"Physical infrastructure and the human-made material world: housing, roads, bridges, dams, transportation networks, drinking water systems, gentrification, urban or rural built form, and material geographies. Tag when the built object or system is a central subject, not merely a setting."
Technology,"Digital, communications, or information technology is a central subject or finding: internet access, broadband, mobile phones, AI, smart systems, social media. Also includes precision agriculture technology, remote sensing as a tool of governance or power, and rural technology access or exclusion."
Energy,"Energy systems, sources, or infrastructure are a central subject: oil, gas, electricity generation, solar, wind, biofuels, wood heat, ethanol, geothermal, mining, or energy transitions. Tag when energy is the focus, not when it appears incidentally."
Social Power,"Papers whose argument centrally concerns inequality, justice (social, environmental, spatial), poverty, health disparities, economic livelihoods, community development, just transitions, or economic resilience. Covers both critique of power structures and policy responses to them."
Recreation,"Tourism, recreational land use, second homes, outdoor recreation economies, or tourist-driven landscape change are the primary focus."
Mobility,"Human movement and population dynamics are a central subject: migration, displacement, refugee resettlement, immobility, urbanization, climate migration, or demographic change. Tag when movement (or its absence) is theorized or empirically studied, not merely reported as context."
Identity,"Social identity categories are a central analytical lens or empirical focus: gender, race, ethnicity, class, caste, sexuality, religion, age, rural/urban identity, or insider/outsider dynamics. Tag when identity shapes the paper's argument, not when it appears only in sample description."
Governance,"Political systems, institutions, or collective action are a central subject: policy, planning, zoning, conservation governance, government programs, resistance, protest, social movements, citizenship, or international development organizations and their mandates."
Methods,"Method development, evaluation, or methodological contribution is an explicit stated goal, or the paper makes a novel methodological argument. Tag when a new data source, analytical technique, or mixed-methods framework is part of the paper's contribution — not merely its means of data collection."
Emotion,"Affect, emotion, or psychological dimensions of human-environment or human-place relations are a central subject: place attachment, nostalgia, care, fear, wellbeing, heritage, or behavioral responses to environmental change."
